learner_id,course_id,peak_bloom_score,peak_sophistication,mean_sophistication,Week_1_Score,Week_2_Score,Week_3_Score,Week_4_Score,Week_5_Score,Week_6_Score,Week_7_Score,Week_8_Score,overall_arc_summary,raw_responses_json
79,48,L5,4,3.0,2,2,3,3,3,4,3,4,"Learner 79’s journey showcases an extremely steep and highly successful mastery curve. The narrative arc moves definitively from **Knowledge Acquisition and Basic Application** to **System Architecture and Automated Deployment**.  *   **Phase 1 (Weeks 1-2): Remedial Support.** The learner used AI as an advanced writing assistant and basic research tool (toning letters, summarization). *   **Phase 2 (Weeks 3-5): Process Overhaul and Governance.** The learner quickly escalated to using AI not just for writing, but for structural governance—reviewing compliance, updating policy, and designing the critical grant-giving *process*. AI became an embedded partner in institutional memory management. *   **Phase 3 (Weeks 6-8): Automation and System Deployment.** The learner transitioned from simply *using* AI features to *integrating* them. The mention of Zapier and finally, the use of a dedicated ""AI Studio"" to build a multi-input letter generation pipeline, signals that the learner is no longer a user, but a **System Architect**.  The learner's success is defined by their ability to move the use of AI from the *text input* (writing an email) to the *operational backbone* (building a self-correcting, automated system that generates compliant, high-quality outputs with minimal manual touchpoints).","{""Week 1"": ""I have asked AI with help in preparing correspondence to give the correct tone etc.; help with improving an existing website page to make it more reader friendly and up to date; for instructions on how to do key tasks in other programmes like the process for setting up a workflow in Jotform etc."", ""Week 2"": ""Asking it for advice on how other platforms and programmes can help me in my work. Summarising grant application documents for submission to Grant Committee. Helping to create social media posts. Help with drafting formal letters."", ""Week 3"": ""This week I've used Claude to review an outdated communications style guide for the charity and asked it to bring it up to date in line with the charity's new website style and fonts etc. I've also used ChatGPT to review our Trustee Code of Conduct to ensure it is compliant with charity law and CC3 compliance and created a new version which is much more detailed and compliant now in those particular areas. I've also used ChatGPT for proofreading documents and improving language/style. And Fellow for taking meeting notes and returning meaningful content for incorporating into the final meeting minutes for circulation to the Trustees."", ""Week 4"": ""Working with Copilot to review our current grant giving processes with a view to improving the structure of the grant application form, the grant process including due diligence, and drafting a grant giving policy."", ""Week 5"": ""I have continued to use AI to help improve our grant giving process and application form etc.. I also intend to use it to help me create a workflow to produce response letters to grant applicants following the outcome of discussions at Grant Committee. With AI's help I have produced an all encompassing Grant Making Policy which includes due diligence measures for the charity and Trustees to follow. I have also used it to help me improve wording in reports by giving it very roughly typed notes which include typos and it has returned fabulous text which is much more professional than I could ever write myself! It has also saved me lots of time in trying to convert my own very rough notes into meaningful text. I have also used it in a personal capacity for various research requirements."", ""Week 6"": ""Continuing to work on improving our grant application form to make it smarter and more succinct and meaningful for the Trustees. Reviewing our grant application process and working with different automation platforms e.g. Zapier to make the process slicker and requiring less manual intervention. And I've also used it to create punchy social media posts for our organisation for both Facebook and LinkedIn. I've used a variety of platforms including Google Gemini, Google AI Studio, Zapier and ChatGPT."", ""Week 7"": ""Taking minutes/action points from meetings. Drafting letters using content from meeting minutes and a previous template. Tidying up working of activity report. Brainstorm ideas for items to be included in a website traffic report. Producing a Grant Making Policy."", ""Week 8"": ""Using Gemini AI Studio to produce response letters to grant applicants based on the outcomes of the Grant Committee meeting as recorded in the meeting minutes - uploaded a copy of the minutes and a previous sample letter and it did the rest for me!! Lots of personal enquiries - asking questions and research etc., as it's now my 'go to' rather than Google!""}"
78,48,L5,3,2.0,2,1,2,3,3,1,,,"Learner 78's usage diary demonstrates a clear and highly commendable progression from **Passive Researcher** to **System Builder**.  The arc begins with basic information gathering (Week 1), followed by a period of low professional activity (Week 2). The learner successfully re-engages by moving into basic application (Week 3). The key development occurs in Week 4, where the learner pivots from using AI for simple queries to using it for **process engineering**—designing structured, repeatable business tools (templates, linked spreadsheets). This maturity peaks in Week 5, where they demonstrate advanced workflow planning by using AI not just for *answers*, but for *creative system outputs* (brand guide $\rightarrow$ content suite).  The overall narrative is one of increasing confidence, growing scope, and transitioning AI from a novelty tool into a core element of business planning and operational design.","{""Week 1"": ""I used it to help me make a marketing plan for my business plus looked up information a trademarking. Mainly though just personal information gathering"", ""Week 2"": ""I continued to print of SOP's for my tax management and how I manage my business. Also, I just swapped from a PC to a Mac Book and used AI to set it all up, transfer everything over and start learning some basic commands."", ""Week 3"": ""I have used AI to input more source material into notebook lm for my project. I tried to print a report but it wouldn\""t load. I have also generated a week one checklist from Chat to start working on my daily actions and also imported the dates into my calender."", ""Week 4"": ""I have been using AI to develop a product description template so that I will have consistency through my website and also to decide on formatting of dates etc I have also used it to design an Excel sheet to collect information on my social media stats so I can monitor this over time and find out what kind of content works best and also for a budgeting/tax excel sheet. I had these to some extent already but I got a lot of extra ideas from AI and also with regards to linking up different sheets"", ""Week 5"": ""I have been using AI to help me with my business course and this month is all about branding, tone of voice, values and what I what people to think and feel from my branding etc so it has been useful to use AI to drill down on all of that and help me develope my brand style etc. I am then going to use this information as a prompt to do the excersises we did last week in the course to get Logo images and a blog post plus some content for a social media post."", ""Week 6"": ""I haven't been on my computer much this week as I have been sorting out my previous house ready for completion so it's been a stressful and busy week but I did get a list of address changes to do so that was simple but helpful.""}"
15,48,L3,2,2.0,2,,,,,,,,"**The arc, based on Week 1, begins at a highly actionable, execution-focused stage.**  Learner 15 is positioning AI as a **content and project acceleration tool**. Their current focus is not on exploring AI's technical capabilities or internal business process redesign, but rather on using AI to rapidly generate necessary marketing materials and content to support an existing, high-stakes professional objective: the museum exhibition.  The initial narrative suggests the learner is moving beyond mere curiosity and is already applying AI to support concrete, visible, and time-sensitive professional deliverables. This is a tactical, output-driven stage of adoption.","{""Week 1"": ""Generating content for newsletters. Generating content for social media posts. Continued to use my project plan to work on the exhibition that will take place at the local museum.""}"
3,48,L6,4,3.0,2,3,3,3,4,,,,"| **Week 4** | **3 (Integrated)** | **Focus:** Automated content generation and resource replacement. **Signals:** Implementing a dedicated content pipeline (GPT for 'what's on' blog posts with required links/validation). Handling high-complexity, non-marketing tasks (financial planning/reconciliation). Creating commercial assets (mascot via StoryVisualiser) that directly replaces specialized designer labor, demonstrating functional replacement of professional services. | | **Week 5** | **4 (Systemic)** | **Focus:** Governance, scaling, and team enablement. **Signals:** The learner shifts from merely *using* the tool to *enabling others* to use it. Implementing custom GPTs/Gems for other departments. Establishing a fully governed, automated workflow (triage system with automated 7-day alerts/reminders, logging into Monday.com). This represents building an interconnected, self-regulating system for the entire team. |","{""Week 1"": ""I use ChatGPT to clarify thinking, reduce friction and create better ways of working, so I can spend more time on strategic marketing and less on reactive noise. I have spent time creating personalised custom instructions so it understands my role and the Cornwall Hotel Collection context, as well as what I need from it. To sense-check and formalise decisions I usually make intuitively Such as deciding whether something happens now or not yet, or checking for clashes across hotels and campaigns. To create practical tools my team can actually use Including one-page SOPs, triage checklists and internal request forms. To protect focus and reduce inbox anxiety By systemising how requests are captured, acknowledged and reviewed instead of living in my inbox. To reflect the reality of hotel marketing Balancing brand, revenue, seasonality, operational teams and multiple properties. To use AI as a thinking partner rather than a content generator Helping me organise thinking, spot gaps and test ideas. To proof and refine marketing emails Sense-checking tone, clarity and effectiveness before they go out. To extract insight from performance data Summarising monthly digital reports into key takeaways and opportunities."", ""Week 2"": ""Over the past week, I've been really thinking about SOPs and automations to support the marketing team as well as other departments in the hotels. I'm really excited about using it as our 'thinking partner' and it supporting us in the repetitive/mundane daily tasks. We're also going to be creating a marketing triage request system, with a thorough breakdown of what we require to launch a new product/menu/break etc, so that it's considered carefully and that it fits with our current marketing plan. We also use Monday.com for task lists so I'll be exploring ways it can support us there with a custom GPT. I've also been sharing all my new findings with our MD."", ""Week 3"": ""I have been setting up custom GPTs to set up daily summaries for pick up data for the next six months, and daily sales data, across the three hotels. Previously it was taking me too long to look at these reports but now I can read through key takeaways and opportunities/weaknesses within a few minutes. I'll be sharing these with my team too. I have been working on my dream project - a rebrand for our 'umbrella' brand ([business name removed]) which will also need a new website. NotebookLM provided some fab reading links (and mind maps) about hospitality branding and strategic web design, so I feel a lot more confident about nailing a web brief for our chosen agency now - and who knows, we might not even need an agency anymore! We are also acquiring another hotel, so another imminent project will be to softly rebrand their existing assets to align it with the rest of the hotels - again, something I have been using AI to support us with. I enjoyed the \""identifying AI use cases\"" report and need to properly consider how it can support us in ALL departments (as well as creating strong SOPs) - my MD is very keen to hear more!"", ""Week 4"": ""Same as usual with my daily CustomGPTs and rebrand project - I've also set up another CustomGPT that creates our 'what's on' blog posts for us to support our copywriter (and to encourage her to use it too), asking it to provide links to confirm that the content is correct. I'm planning our marketing budget for the new financial year so I've been using it to support me with that, as well as reconciling recent marketing spends per business per month. Something I've been putting off for ages! I've created a seagull mascot in a hotel bellhop jacket for The Falmouth Hotel, as that's our family friendly property. I've been popping him in various scenes using the StoryVisualiser - he will be used in menus, rockpooling guides, colouring sheets etc. This would have taken our designer days to achieve."", ""Week 5"": ""I have been continuing to use it as a daily support tool for the rebrand project I'm currently leading. It has been keeping me on track with my scheduled hours to solely dedicate time to this project. I have been expanding our FAQ pages on our websites with conversational Q&As to ensure we're easily discoverable in ChatGPT etc if people are asking about hotels in Cornwall. I have been asking my own team and other departments about repetitive tasks that they have daily, to implement CustomGPTS/Gems for them. I have set up a new internal marketing triage / requests system so we handle all requests in a more straightforward manner now, with automated alerts after 7 days if we haven't actioned something. I am logging each internal request in Monday.com with a thorough workflow to follow until each idea is launched.""}"
8,48,L5,3,2.75,2,3,3,2,3,3,3,3,"Learner 8's usage diary describes a rapid and highly accelerating learning curve, moving through multiple stages of adoption.  **The arc trajectory is: **","{""Week 1"": ""I have used it to write copy for my website and socials."", ""Week 2"": ""I have used AI to create a custom Gem for my business."", ""Week 3"": ""I have used it to improve my excel spreadsheet calculations - using COPILOT prompts to clean up and sort data in spreadsheets. Also I have used Claude, Gemini and chat GPT to draft up e-mails for new clients and to create a new business CRM for me."", ""Week 4"": ""This week I have used it to help me with my learning of planning policy for the UK and also to help me write an \""about\"" page for my website."", ""Week 5"": ""I've been using AI (Claude) to help me search the NPPF (National Planning Policy Framework) document to identify possible planning constraints for off market construction sites. Also using it to search the local plans for additional issues and policy information. In addition I am using it to work with another company to expand their business and to manage the day to day running of the business on the commercial side."", ""Week 6"": ""I have used it to plan a strategy for expanding a small business that I am working with - mostly to identify possible outreach solutions and companies. Then I used this information to draw up a meeting agenda and presentation document to share with the company. Mostly used Claude and Gemini for this. Also using it to review NPPF for my planning business."", ""Week 7"": ""Same as last week - using it to learn planning law and local planning guidelines and rules."", ""Week 8"": ""I have used it to write new pages for my website and to write a brand guideline document as well as helping with a logo design. All done in Claude and Gemini.""}"
14,48,L5,3,3.0,3,3,3,3,3,3,3,3,"Learner 14's narrative arc demonstrates a clear and powerful progression from **Self-Taught Technical Experimenter** to **Systemic Workflow Designer**.  The journey begins in Week 1 with a passion project rooted in technical coding, establishing a foundation in logical problem-solving using AI (Claude). This foundational interest quickly pivots toward highly structured, high-value professional use cases.  In the middle weeks (W2-W3), the focus shifts dramatically to business process automation, where the learner begins solving critical, recurring, and document-heavy tasks (inventory management, legal form updating). The key shift observed is that the AI moves from being a mere *assistant* to becoming a core *engine* for data extraction and content structuring.  By the later weeks (W4-W8), the learner graduates into **Systemic Integrator**. They are not just using AI for single tasks, but designing and building complex, automated *pipelines* (e.g., the Gem that cleans CSVs from video software; the conceptual pipeline from story writing to marketing assets). The learner's ability to combine technical outputs (code, graphs) with creative outputs (music, video concepts) highlights a mastery of multi-modal AI integration necessary for modern content and business operations.","{""Week 1"": ""I have used AI in my Christmas break for several tasks, but the main task is to create a YouTube subscriber counter, which is an electronics and coding project using an LED matrix as a display, a \""microcontroller\"" to fetch, process data and send it to the display, and a temperature/humidity sensor to show the relevant data. I've used AI to help with the electronics side, and also to create the code (mainly Claude for this as it seems to be the best option for coding with the microcontroller) ."", ""Week 2"": ""Mainly general use, but I've created a custom GPT to help maintain an inventory for electronics components - I'll paste an image of the order page, and a URL to the item's listing and it will grab most (if not all) the info, asking any questions for clarification, and format the data ready for input into the inventory."", ""Week 3"": ""I have been updating the Instructions form used by our consultants to record information from clients to produce their Wills. This has been a big update, which has involved using InDesign and Acrobat Pro to create an Interactive form on top. I've used AI in this respect to go through the form (as it's 21 pages long) to check spelling and grammar, as well as offering suggestions to potentially improve the layout, or add things if they are missing, etc."", ""Week 4"": ""Work: Still using my custom transcription \""cleaner\"" Gem in Gemini, and also used it for inspiration on what I can use to give extra to videos, such as what b-roll I can use and graphs, etc. At home, been using it for cleaning up some data for an inventory, coding for an \""IoT\"" device (and debugging)."", ""Week 5"": ""My work use of AI hasn't really changed from previous weeks. Where I've mainly been using it is at home. The main thing is to practice what I've been learning on this course - I started off in a normal Gemini prompt to help create the instructions for a custom Gem to write a story for an audiobook to publish on YouTube. I then used to another normal prompt to help create the prompt to use in Google AI studio to build an app to take the text from that story and create title ideas, 5 images to act as video backgrounds, a video description and a thumbnail. Each section then has the option to regenerate the output if I didn't like what it had done."", ""Week 6"": ""At work, I have created a custom Gem that takes data from a CSV that has been exported from Adobe Premiere Pro. We always put chapter timings on our YouTube videos, and I add chapter comments in Premiere Pro to help me find where I am. You can export these chapter comments with times from PP, but you get all comments, not just the chapter comments. The Gem takes the CSV, strips out all extraneous comments, and formats it in the correct format so it can be pasted directly into the video description. It works just about instantly and saves me time doing a mundane, repetitive task."", ""Week 7"": ""Much the same as last time. Used Gemini to read a script and to generate a few ideas for adding extra visual content to the video to help explain what was being said. Continued to use Suno to create more songs, and tried an AI tool for creating electronic schematics and PCBs."", ""Week 8"": ""At work, I've mainly used it to research some data, the create a projection on how that will look over the next few years and finally create a graph, which ended up in a video to help illustrate a point. At home, I've experimented with creating music/songs on Suno and Eleven labs.""}"
33,48,L6,4,3.0,1,3,3,3,4,4,,,"Learner 33 demonstrates a classic progression from **curiosity-driven experimentation to critical professional deployment and systems leadership.**  **Phase 1: Exploratory (Weeks 1-2):** The initial phase was broad, covering both personal and professional tasks. The learner quickly found high-value professional use cases (mockups, automation) and moved rapidly past simple use into complex, multi-tool application.  **Phase 2: Structural Integration (Weeks 3-4):** The focus narrows to core business functions (product innovation, campaign planning). The learner successfully establishes defined, repeatable AI-powered workflows, moving the tools from novelty to integral parts of their professional process.  **Phase 3: Mastery and Influence (Weeks 5-6):** This is the peak of the learning journey. The learner doesn't just *use* the tools; they analyze their limitations (date errors), become an internal consultant (training the team, sharing SOPs), and implement advanced processes (summarizing lengthy AI outputs). Their narrative arc concludes not as a passive user, but as a *Workflow Architect* who trains others and optimizes existing company processes using AI.","{""Week 1"": ""I've used it in the workplace for: Creating a product benchmarking document for pie innovation Developing my workplan for the year Getting a clearer understanding about what someone really means if I'm unclear Breaking down my annual budget and really clearly demonstrating how and where the spend goes. In personal life: Book recommendations Medical issues Present ideas Changing my name post wedding checklist"", ""Week 2"": ""I've been cracking on with my project plan - looking at how to automate all our digital analytics and tracking on social media and google adwords. I've also been using it to help me restructure the team as there'll be some changes to the team from May. I've been using it to look at the gaps in our team and to come up with a suitable plan for what to recommend to the board. I'm trying to get set up with Claude Co-Work at the moment. I've been using it for research purposes and also used Gemini to create mock up images of our packaging on supermarket shelving! Took me a few attempts to get that perfect but I am really happy with the result, as was the head of commercial and he presented it to the Sainsbury's buyer (who also loved it :D )."", ""Week 3"": ""I've used it to help come up with a to do list for what i need to do to change my name (post marriage), created a project in Claude with instructions to help me write campaign briefs for the brand team, I like to keep my CV up to date and update it in January normally - used Claude to help me with that and WOW it has done a great job!"", ""Week 4"": ""Using it a lot to help with product innovation: Competitor benchmarking, consumer surveys, category data & insights gathering, and will be using it to analyse the consumer survey results!"", ""Week 5"": ""I have just started working on my work process which we identified as a work process about three weeks ago! Had quite a few issues with Claude thinking we were in 2025 and not at all understanding what the date was which was why none of my calendar invites were working, but now I've got to the bottom of that i'm really excited that i'll be starting my project this Thursday. I've also been training a few members in the team on how to use AI, based on what we have learned in our sessions. We've set up the personalised context in AI which we covered in session 1 or 2 I think and have also shared the prompts on how to write an SOP with our sustainability manager who is about to go off on maternity leave which i think she found helpful. I've also been using Claude to create a project which enables me to pull a huge product benchmarking sheet together which is really helpful at the start of any product innovation process!"", ""Week 6"": ""to plan and refine my team workplan i've been using it to fight ai with ai - some people in the business have a tendency to be sending 27+ page documents generated with ai for me to quickly 'skim read' in 5 minutes before the meeting, so i've been using ai to simplify and summarise those documents to a nice one pager which is much more manageable i've been taking the 2-3 big lessons learned in these sessions and going through it with my direct team which they've found really helpful i've used it to create a huge to do list for changing my name (post marriage) with what i need to change and in what order for medical questions""}"
48,48,L4,3,2.0,1,3,2,2,2,2,2,,"Learner 48's journey is characterized by a **""Foundational Anchor with Strategic Aspiration.""**  **The Narrative Arc:** The learner begins with low, passive use (holiday). The arc demonstrates a clear pivot from purely personal use (Week 1) to early, high-impact professional adoption (Week 2), where they successfully apply the tools to formal company documents (contracts, policy statements). However, the learner then settles into a deeply personal and consistent functional anchor—using AI as a remedial writing aid and creativity booster (Weeks 3, 6, 7). This repetitive, low-scope use acts as a stabilizing pattern.  Crucially, despite the consistency of the writing aid narrative, the MD role forces a *parallel* narrative of strategic oversight. The learner constantly shifts the focus to the *potential* and *limitations* of AI in a corporate environment (Weeks 4 and 5). This indicates a cognitive split: operational mastery of a simple function (writing) alongside a high-level desire to engage in systemic, enterprise-level strategy and governance. The learner is using the tool to solve immediate personal problems while simultaneously positioning themselves as the corporate architect responsible for maximizing its organizational value.","{""Week 1"": ""Used it over Christmas for personal use as been off work on holiday. Used it to provide history information on places that we visited. Sorry, but I tend to not use digital devices when on holiday to enable me to switch off."", ""Week 2"": ""Hi Have used Gemini, and set up a GEM to amend an employment contract for a temporary member of staff. I have used Copilot to produce a company statement to issue out to staff surround appropriate behaviour, and also used it to produce a new more suitable committal for my father in laws funeral."", ""Week 3"": ""Being honest, I've not used it much other than simply producing better paragraphs of text as I'm very poor at creative writing. This maybe small but in itself, is a massive improvement in my life after 50 years of struggling writing documents due to poor English ability."", ""Week 4"": ""I have only used it for improving my writing creativity. My reason for this is that I am the MD of the company and I have enrolled on this course to understand the potential use of AI in our company. I have three directors on the course as well and they are tasked with taking their learnt knowledge further and utilising AI within their teams to improve efficiency within the business, so their action is to be creative with the apps, but I need to understand what they are doing."", ""Week 5"": ""Sorry, but same answer as previous. I've only used it for basic creativity/writing improvement capability, as the three other directors on the course are tasked with utilizing it in the business. My role is to understand its capability an potential in the business. I have however tried to create/suggest improvement surrounding our company website, but struggled due to free app limitations."", ""Week 6"": ""Only used for checking paragraphs to increase accuracy, factualness, creativity."", ""Week 7"": ""Same as last week, I've only used to to produce paragraphs of writing, to induce some creativity which I struggle to do normally. I did however use it to help produce an Order of Service sheet for a family funeral later this week.""}"
57,48,L5,4,2.75,2,2,3,2,3,3,3,4,"Learner 57's narrative arc is one of **From User to Internal Evangelist and System Designer.**  1.  **Initial Phase (Weeks 1-2):** The learner establishes proficiency by successfully applying AI to discrete, content-based tasks (summarization, drafting). The focus is on the *output*. 2.  **Mid-Phase Transformation (Weeks 3-5):** The learner's focus shifts from personal output to **organizational impact**. They become the subject-matter expert, recognizing that their value lies not just in using AI, but in *teaching* others how to use it. This indicates a move from personal efficiency gains to team capacity building. 3.  **Advanced Phase (Weeks 6-8):** The learner enters a cycle of **Critical Integration**. They move past simply accepting AI output (Week 6) and begin diagnosing its failures, implementing human-in-the-loop checks, and then *packaging* that knowledge into structured, repeatable training modules for their peers (Week 7). By Week 8, their use of AI is holistic, encompassing both professional governance (leading the business on AI) and sophisticated personal planning, cementing the concept of AI as a foundational, reliable utility, not a novelty.","{""Week 1"": ""I have been doing lots of things LinkedIn posts Company Case studies - reviewing reports and then summarizing the Award submissions"", ""Week 2"": ""I have been using it to better draft e-mails and award submissions. I have also used it to create video content - for personal use but looking at it for a business case to provide eye catching content for people to look at our services."", ""Week 3"": ""We had a in person meeting with department heads on how wer were going to use AI in our business. I also provided a presentation to ooy admin team o using AI for their works"", ""Week 4"": ""I have used it to complete award submissions for our industry, LinkedIn posts, e-mail reviews. summarised meeting notes, personal - asked to produce a list of actions in preparation for a 40th year anniversary dinner for a triathlon club. I also asked it to look at suitable venue's for up to 120 people. I also used it to look for garages with a good 5 s rating to fix my car which had failed its MOT :("", ""Week 5"": ""Nomination of colleagues into staff awards - I had the basics but needed some killer text to make it stand out and had some good feedback from my colleagues who through I should have been a reporter! Did a AI presentation to colleagues on how to get the best out of it."", ""Week 6"": ""I had a review of some pdf documents from different Clients and had to score them against the same criteria - I wanted to test CoPilot to see what it would come up with and it scored the 8 entries pretty well. I had to tweak the response a bit but overall I was quite impressed"", ""Week 7"": ""I have been doing a basic training session for our admin team to introduce them to using AI and going through the process of good prompting and will run through a few live examples to help them book the best travel arrangements, local suppliers to a site and training sessions. I also used AI to reduce down an award submission to 600 words and it worked very well."", ""Week 8"": ""I have started to offer guidance to others in the business on the importance of using AI to assist with their roles - I am starting with the Admin team and a test with one of the colleagues was bolled over at the helpfulness. I have used take away points from this training. In out of work times I have been planning a 40th anniversary celebration of our triathlon club and used AI to make sure I did not miss anything off the agenda before we had our first meeting.""}"
65,48,L5,3,2.29,3,2,3,1,3,1,3,,"Learner 65's narrative arc demonstrates a rapid and increasingly technical maturation in their use of AI.  The progression follows three clear stages:  1.  **Reporting & Efficiency (Weeks 1–2):** The initial phase focused on leveraging AI for horizontal efficiency gains—specifically, analyzing data reports and streamlining routine professional communication/logistics. 2.  **System Conceptualization (Weeks 3–4):** The learner shifted from viewing AI as a task helper to viewing it as a *team asset* (the knowledge library/chatbot). This phase introduces a systemic, project-based mindset, which peaks in technical interest during Week 5. 3.  **System Building & Troubleshooting (Weeks 5–7):** This is the most advanced and productive phase. The learner moves past mere experimentation and begins working with the foundational mechanics of AI tools (JSON, back-end flows, source uploading). The repeated efforts to troubleshoot and rebuild the chatbot indicate deep immersion, turning theoretical potential into tangible, if imperfect, technical projects.  **Overall Takeaway:** The learner progressed from *utilizing* AI for simple professional gains to *engineering* AI solutions for structural business assets.","{""Week 1"": ""I have been uploading exports from our database to analyse it and report on trends/any standout issues with our products. It produced some really good graphs and offered to make a powerpoint. Will be useful for reporting on KPI's It also suggested quick wins to improve!!"", ""Week 2"": ""I have been using it more to help with communication this week. Trying with my colleagues to have a consistent approach. I have also been experimenting with it helping me with logistic planning, flights etc to send engineers abroad."", ""Week 3"": ""I have been trying to design more of the chat bot idea but still not fully successful yet. Also as a team we have been looking at pooling our resources as a library that we can ask questions of. Still work to do."", ""Week 4"": ""I haven't been as active on it this week as work has been very busy. Been looking at it's suggestions for my project idea, and finalising with colleagues what would be a useful thing to achieve. Did ask it to help me plan a little city break to Faro though :)"", ""Week 5"": ""We have an old chat bot at work that we discontinued but still have the back end Json coding for the troubleshooting flows, so i have been trying to see if i can create a new chatbot from these to go back on our website. Not too successful at the moment!!"", ""Week 6"": ""With a busy working week, i'm afraid i didn't have much time to use AI. Although it has proven that a trouble shooting chat bot would be very helpful!!!"", ""Week 7"": ""I have been experimenting with making a chat bot, uploaded some sources etc. worked okay but not quite what i was hoping for. Also tried to get it to do some json code for me which was fun!""}"
